City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
196,camacupa,-12.0167,17.4833,15.62,94,100,1.87,AO,1675648235
197,sheridan,44.8333,-106.9173,-0.79,75,100,0.45,US,1675648235
198,fairbanks,64.8378,-147.7164,-17.02,81,0,2.57,US,1675648236
199,isangel,-19.55,169.2667,29.79,69,100,0.46,VU,1675648236
200,omboue,-1.5746,9.2618,25.62,84,100,1.35,GA,1675648236
201,avera,33.194,-82.5271,9.73,86,0,2.83,US,1675648237
202,ketchikan,55.3422,-131.6461,3.26,87,100,5.14,US,1675648237
203,namie,37.4833,141.0,10.95,40,50,4.28,JP,1675648237
204,caraquet,47.7941,-64.9386,-10.7,96,100,0.78,CA,1675648063
205,ganzhou,28.8184,115.4327,11.1,84,83,0.96,CN,1675648238
206,kencong,-8.2833,113.3667,27.99,69,100,1.46,ID,1675648238
207,kunya,12.2233,8.5325,17.09,59,0,2.06,NG,1675648238
208,kankon,15.0167,74.0167,23.99,51,99,2.01,IN,1675648239
209,oksfjord,70.2396,22.3479,3.1,88,96,4.97,NO,1675648239
210,diffa,13.3154,12.6113,22.78,23,85,3.8,NE,1675648239
211,itarema,-2.9248,-39.9167,24.83,88,80,3.55,BR,1675648239
212,peleduy,59.6289,112.7406,-29.2,100,98,0.61,RU,1675648240
213,abha,18.2164,42.5053,13.14,24,0,4.12,SA,1675648240
214,beian,63.6559,9.5683,5.56,93,75,2.57,NO,1675648240
215,suleja,9.1758,7.1808,26.22,16,99,2.74,NG,1675648240
216,langsa,4.4683,97.9683,25.39,85,100,0.77,ID,1675648241
217,sisophon,13.5859,102.9737,29.12,62,39,2.46,KH,1675648241
218,paramonga,-10.6667,-77.8333,22.75,81,49,2.7,PE,1675648241
219,kabare,-2.4683,28.8242,14.91,89,90,0.68,CD,1675648242
220,moose factory,51.2585,-80.6094,-25.01,84,0,1.54,CA,1675648242
221,cienfuegos,22.1461,-80.4356,24.08,88,0,1.54,CU,1675648242
222,kaseda,31.4167,130.3167,13.87,81,100,5.8,JP,1675648242
223,touros,-5.1989,-35.4608,26.38,78,8,4.22,BR,1675648243
224,aksarayskiy,46.7924,48.0119,-4.08,90,100,3.52,RU,1675648243
225,roma,43.2128,-75.4557,6.71,70,100,0.0,US,1675648243
226,tiznit,29.5833,-9.5,9.37,44,5,0.53,MA,1675648243
227,tambura,5.6,27.4667,21.0,20,76,1.47,SS,1675648244
228,ilulissat,69.2167,-51.1,-16.99,78,100,10.8,GL,1675648244
229,sitka,57.0531,-135.33,5.94,61,100,10.29,US,1675648186
230,havoysund,70.9963,24.6622,4.13,73,75,9.44,NO,1675648244
231,imeni poliny osipenko,52.4201,136.4853,-21.69,95,97,1.26,RU,1675648245
232,walvis bay,-22.9575,14.5053,18.94,87,100,1.86,NA,1675648245
233,inongo,-1.95,18.2667,22.34,91,81,2.38,CD,1675648156
234,kainantu,-6.2887,145.8655,23.41,71,76,0.7,PG,1675648245
235,flinders,-34.5833,150.8552,28.99,65,0,3.13,AU,1675648246
236,kashi,39.4547,75.9797,-0.44,59,40,4.0,CN,1675648246
237,lynn haven,30.2455,-85.6483,17.06,85,75,0.0,US,1675648246
238,kunnamangalam,11.3046,75.8777,22.35,73,99,1.51,IN,1675648246
239,plettenberg bay,-34.0527,23.3716,20.64,96,71,2.33,ZA,1675648247
240,ullapool,57.8987,-5.1604,10.19,87,100,5.25,GB,1675648247
241,hovd,48.0056,91.6419,-16.11,76,94,1.42,MN,1675648247
242,oranjemund,-28.55,16.4333,17.26,95,99,3.97,NA,1675648209
243,tingi,-11.3,35.0333,17.11,91,100,0.33,TZ,1675648248
244,lata,40.1629,-8.3327,3.37,77,0,2.35,PT,1675648248
245,pafos,34.7667,32.4167,11.88,71,100,6.17,CY,1675648248
246,sisimiut,66.9395,-53.6735,-18.04,92,100,2.13,GL,1675648249
247,tura,25.5198,90.2201,16.8,48,0,1.38,IN,1675648249
248,darhan,49.4867,105.9228,-20.47,96,86,1.38,MN,1675648249
249,andenes,69.3143,16.1194,2.99,75,100,8.23,NO,1675648249
250,half moon bay,37.4636,-122.4286,10.88,83,40,9.26,US,1675648045
251,avarua,-21.2078,-159.775,26.03,83,75,3.6,CK,1675648250
252,pochutla,15.7432,-96.4661,25.9,74,0,2.0,MX,1675648250
253,dzerzhinskoye,56.8344,95.2283,-21.94,100,95,0.81,RU,1675648171
254,miri,4.4148,114.0089,28.08,89,20,2.06,MY,1675648250
255,yar-sale,66.8333,70.8333,-27.66,100,89,0.19,RU,1675648251
256,assiniboia,49.6334,-105.9845,1.9,69,88,7.2,CA,1675648251
257,parakai,-36.65,174.4333,24.84,86,85,3.24,NZ,1675648251
258,tianpeng,30.9866,103.9393,12.62,69,99,0.51,CN,1675648252
259,mandera,3.9366,41.867,23.44,34,28,3.36,KE,1675648252
260,saint-pierre,-21.3393,55.4781,24.82,78,0,2.06,RE,1675648252
261,sao felix do xingu,-6.6447,-51.995,22.34,94,90,0.87,BR,1675648252
262,raga,8.4596,25.678,20.96,19,36,0.29,SS,1675648253
263,celestun,20.8667,-90.4,22.52,74,30,6.44,MX,1675648253
264,dubrovka,53.6907,33.5071,-10.08,98,84,2.69,RU,1675648253
265,moerai,-22.4333,-151.3333,27.07,69,61,5.16,PF,1675648253
266,husavik,66.0449,-17.3389,3.67,63,100,13.3,IS,1675648215
267,puerto quijarro,-17.7833,-57.7667,24.29,80,27,0.74,BO,1675648254
268,bengkulu,-3.8004,102.2655,26.42,71,89,2.46,ID,1675648254
269,carauari,-4.8828,-66.8958,22.53,98,95,0.4,BR,1675648255
270,alofi,-19.0595,-169.9187,23.94,94,97,8.75,NU,1675648255
271,marzuq,14.4,46.4667,16.42,72,60,1.65,YE,1675648255
272,carnarvon,-24.8667,113.6333,27.29,63,0,7.79,AU,1675648256
273,okakarara,-20.5833,17.4333,18.24,89,100,2.7,NA,1675648256
274,tuatapere,-46.1333,167.6833,17.96,64,92,5.08,NZ,1675648182
275,chara,56.9064,118.2631,-23.15,97,100,0.95,RU,1675648256
276,saint-francois,46.4154,3.9054,4.82,81,100,5.14,FR,1675648133
277,aswan,24.0934,32.907,14.61,30,0,2.06,EG,1675648256
278,santiago,-33.4569,-70.6483,24.75,49,0,5.66,CL,1675647747
279,alugan,12.2188,125.4808,26.91,85,90,5.6,PH,1675648257
280,abalak,58.1286,68.5944,-17.48,100,100,0.95,RU,1675648257
